name	barcode20	barcode18	barcode16	barcode07	barcode14	barcode04	barcode32	barcode17	barcode12	barcode11	barcode01	barcode10	barcode31	barcode21	barcode15	barcode30	barcode09	barcode22	barcode03	barcode13	barcode02	barcode06	barcode08	barcode05	barcode33	barcode19
Paenibacillus_tritici	0.00004	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0	0	0	0	0	0	0
Paenibacillus_tundrae	0.00004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0.00002	0	0	0	0	0	0
Paenibacillus_typhae	0.00004	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00001	0
Paenibacillus_uliginis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0	0	0	0	0	0	0
Paenibacillus_urinalis	0.00005	0.00003	0	0.00002	0	0	0	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0.00003	0	0	0	0	0.00001	0
Paenibacillus_woosongensis	0.00005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00002	0
Paenibacillus_xylanilyticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0	0
Paenibacillus_yonginensis	0.00007	0	0	0.00004	0	0	0.00001	0	0	0	0	0	0.00002	0	0	0.00001	0	0	0	0.00004	0	0	0	0	0.00001	0
Paeniglutamicibacter_sp._Y32M11	0.00003	0	0	0.00003	0	0.00001	0.00002	0.00004	0	0	0.00003	0	0.00002	0	0	0.00001	0.00004	0	0	0	0	0	0	0.00002	0.00002	0
Paeniglutamicibacter_sp._ZC-3	0.00006	0.00004	0.00003	0.00004	0	0.00002	0.00002	0	0	0	0.00004	0	0.00003	0	0.00004	0.00003	0.00005	0	0.00004	0.00005	0.00003	0.00004	0	0.00004	0.00003	0.00002
Paenimyroides_aestuarii	0.00018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00013	0	0	0	0	0	0
Paenisporosarcina_antarctica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0	0	0	0	0	0.00001	0
Paenisporosarcina_sp._FSL_H8-0542	0.00004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0	0	0	0	0	0	0
Pajaroellobacter_abortibovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00001	0
Palleronia_sp._LCG004	0.00004	0.00008	0.00006	0.00005	0.00004	0.00006	0.00003	0.00007	0.00003	0.00004	0.00004	0.00002	0.00005	0	0.00007	0.00005	0.00005	0	0.00006	0	0.00004	0.00006	0.00003	0.00007	0.00007	0.00007
Palleronia_sp._THAF1	0	0.00004	0.00004	0.00004	0.00002	0.00003	0.00002	0.00004	0	0	0.00003	0	0.00003	0	0.00005	0.00003	0.00004	0	0.00003	0	0.00002	0.00004	0	0.00004	0.00004	0.00004
Paludibacter_propionicigenes	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0.00020	0	0	0	0	0	0
Paludibacterium_paludis	0	0.00005	0.00002	0.00004	0	0.00005	0.00003	0.00004	0	0.00003	0.00003	0	0.00003	0	0.00004	0.00004	0.00007	0	0	0	0.00002	0.00005	0	0.00004	0.00004	0.00005
Paludibacterium_yongneupense	0.00004	0.00004	0.00003	0.00003	0	0.00002	0.00002	0.00005	0	0	0.00003	0	0.00002	0	0.00005	0.00003	0.00005	0	0.00003	0	0.00003	0.00005	0	0.00004	0.00004	0.00004
Paludibaculum_fermentans	0.00012	0.00045	0.00058	0.00048	0.00016	0.00035	0.00024	0.00045	0.00020	0.00013	0.00039	0.00013	0.00032	0	0.00053	0.00037	0.00046	0	0.00041	0.00003	0.00026	0.00044	0.00019	0.00049	0.00050	0.00050
Paludicola_sp._MB14-C6	0.00010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00005	0	0	0	0	0	0
Paludisphaera_borealis	0.00028	0.00086	0.00080	0.00100	0.00037	0.00083	0.00039	0.00078	0.00031	0.00024	0.00076	0.00024	0.00069	0	0.00086	0.00075	0.00078	0	0.00068	0.00013	0.00061	0.00077	0.00029	0.00093	0.00080	0.00084
Panacibacter_ginsenosidivorans	0.00005	0.00009	0.00008	0.00003	0.00005	0.00002	0.00007	0.00010	0.00005	0.00005	0.00003	0.00004	0.00004	0	0.00008	0.00004	0.00015	0	0	0.00002	0.00004	0.00012	0.00005	0.00002	0.00009	0.00009
Pandoraea_apista	0.00003	0.00009	0.00012	0.00009	0.00008	0.00007	0.00006	0.00009	0.00004	0.00005	0.00010	0.00007	0.00008	0	0.00012	0.00008	0.00007	0	0.00008	0.00005	0.00006	0.00012	0.00007	0.00009	0.00011	0.00012
Pandoraea_commovens	0	0.00008	0.00010	0.00008	0.00006	0.00008	0.00006	0.00010	0.00006	0.00005	0.00007	0.00004	0.00007	0	0.00010	0.00007	0.00010	0	0	0	0.00005	0.00011	0.00005	0.00010	0.00009	0.00007
Pandoraea_faecigallinarum	0.00003	0.00013	0.00013	0.00009	0.00009	0.00010	0.00009	0.00014	0.00009	0.00007	0.00011	0.00010	0.00009	0	0.00012	0.00011	0.00013	0	0.00010	0	0.00008	0.00016	0.00007	0.00015	0.00013	0.00014
Pandoraea_fibrosis	0.00005	0.00008	0.00011	0.00009	0.00005	0.00009	0.00007	0.00010	0.00006	0.00006	0.00009	0.00007	0.00007	0	0.00008	0.00008	0.00008	0	0.00005	0	0.00007	0.00010	0.00008	0.00009	0.00010	0.00011
Pandoraea_norimbergensis	0.00004	0.00014	0.00010	0.00008	0.00007	0.00009	0.00008	0.00009	0.00008	0.00004	0.00008	0.00006	0.00007	0	0.00012	0.00009	0.00013	0	0.00012	0.00003	0.00006	0.00015	0.00006	0.00010	0.00010	0.00010
Pandoraea_oxalativorans	0	0.00012	0.00011	0.00006	0.00006	0.00010	0.00007	0.00009	0.00004	0.00005	0.00009	0.00005	0.00006	0	0.00012	0.00010	0.00012	0	0.00014	0	0.00008	0.00014	0.00007	0.00009	0.00011	0.00012
Pandoraea_pnomenusa	0.00010	0.00034	0.00025	0.00024	0.00017	0.00025	0.00021	0.00028	0.00018	0.00019	0.00025	0.00018	0.00020	0	0.00032	0.00026	0.00033	0	0.00034	0.00003	0.00022	0.00040	0.00017	0.00029	0.00028	0.00032
Pandoraea_pulmonicola	0	0.00020	0.00016	0.00018	0.00014	0.00016	0.00013	0.00015	0.00013	0.00011	0.00016	0.00009	0.00016	0	0.00014	0.00015	0.00019	0	0.00011	0	0.00012	0.00021	0.00011	0.00019	0.00016	0.00021
Pandoraea_sp._NE5	0	0	0	0	0	0	0.00005	0	0	0	0	0	0	0	0	0.00004	0	0	0	0	0	0	0	0	0.00006	0
Pandoraea_sp._XJJ-1	0	0	0	0	0	0	0.00005	0	0	0	0	0	0	0	0	0.00005	0	0	0	0	0	0	0	0	0.00005	0
Pandoraea_sp._XY-2	0.00007	0.00016	0.00015	0.00013	0.00011	0.00012	0.00006	0.00016	0.00012	0.00009	0.00014	0.00011	0.00012	0	0.00017	0.00007	0.00019	0	0.00016	0	0.00010	0.00027	0.00011	0.00012	0.00007	0.00014
Pandoraea_sputorum	0.00004	0.00010	0.00009	0.00009	0.00010	0.00009	0.00007	0.00012	0.00005	0.00006	0.00010	0.00007	0.00009	0	0.00009	0.00009	0.00009	0	0.00009	0	0.00007	0.00013	0.00006	0.00010	0.00010	0.00011
Pandoraea_thiooxydans	0.00007	0.00018	0.00017	0.00012	0.00013	0.00010	0.00013	0.00019	0.00012	0.00008	0.00014	0.00012	0.00013	0	0.00015	0.00013	0.00017	0	0.00011	0.00003	0.00009	0.00022	0.00012	0.00016	0.00017	0.00018
Pandoraea_vervacti	0	0.00013	0.00011	0.00012	0.00009	0.00011	0.00010	0.00015	0.00009	0.00010	0.00014	0.00008	0.00010	0	0.00014	0.00012	0.00016	0	0.00012	0	0.00008	0.00017	0.00008	0.00013	0.00013	0.00014
Pandoravirus_quercus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0	0	0	0	0	0	0
Pannonibacter_phragmitetus	0.00049	0.00071	0.00075	0.00076	0.00050	0.00062	0.00040	0.00070	0.00034	0.00037	0.00069	0.00042	0.00062	0	0.00071	0.00060	0.00074	0	0.00068	0.00020	0.00047	0.00070	0.00022	0.00071	0.00069	0.00072
Pantoea_agglomerans	0.00021	0.00009	0.00008	0.00008	0	0.00008	0.00003	0.00018	0	0	0.00008	0	0.00005	0	0.00006	0.00006	0.00011	0	0.00017	0.00008	0.00009	0.00007	0	0.00006	0.00007	0.00008
Pantoea_alfalfae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0	0
Pantoea_alhagi	0.00004	0	0	0	0	0.00001	0.00001	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00002	0
Pantoea_ananatis	0.00011	0.00006	0.00008	0.00004	0	0	0.00002	0	0	0	0	0	0.00003	0	0.00011	0.00003	0	0	0	0	0	0	0	0.00005	0.00007	0.00007
Pantoea_anthophila	0.00017	0	0	0.00002	0	0.00002	0.00001	0	0	0	0	0	0.00001	0	0.00002	0.00001	0	0	0	0.00007	0.00002	0	0	0	0.00002	0.00002
Pantoea_cypripedii	0.00002	0	0	0.00002	0	0	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0	0	0	0	0	0.00001	0
Pantoea_deleyi	0	0	0	0.00002	0	0.00001	0.00001	0	0	0	0	0	0.00001	0	0.00002	0.00001	0	0	0	0	0	0	0	0	0.00002	0
Pantoea_dispersa	0.00006	0.00005	0.00003	0.00005	0.00006	0.00004	0.00003	0.00006	0.00006	0	0.00005	0.00008	0.00004	0	0.00007	0.00003	0.00005	0	0	0.00002	0.00002	0.00005	0.00005	0.00005	0.00005	0.00004
Pantoea_eucrina	0.00002	0	0	0.00002	0	0.00001	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0.00004	0	0	0	0	0	0	0	0.00001	0
Pantoea_phytobeneficialis	0.00003	0	0.00002	0.00002	0	0	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0	0	0	0	0.00001	0.00002	0
Pantoea_piersonii	0	0	0.00002	0.00002	0	0.00002	0.00002	0	0	0	0	0	0.00001	0	0	0.00002	0	0	0	0	0.00002	0.00005	0	0.00003	0.00001	0
Pantoea_rwandensis	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00001	0
Pantoea_soli	0	0	0	0	0	0.00002	0.00001	0	0	0	0	0	0	0	0.00002	0.00001	0	0	0	0	0.00001	0.00002	0	0	0.00002	0.00003
Pantoea_sp._At-9b	0.00004	0	0	0.00002	0	0	0.00001	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0	0	0.00005	0	0.00002	0.00001	0
Pantoea_sp._BRR-3P	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0.00001	0	0	0	0	0	0	0	0	0.00002	0
Pantoea_sp._Lij88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0	0	0	0	0	0.00002	0
Pantoea_sp._SO10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002	0	0	0	0	0	0	0	0	0	0
Pantoea_sp._SOD02	0.00009	0	0	0	0	0	0	0	0	0	0	0	0.00002	0	0	0.00001	0	0	0	0	0	0	0	0	0.00003	0
Pantoea_sp._Z09	0	0.00005	0.00005	0.00004	0	0.00004	0.00002	0	0	0	0.00005	0	0.00002	0	0.00007	0.00002	0.00007	0	0	0	0.00003	0	0	0.00004	0.00002	0
Pantoea_stewartii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002	0	0	0	0	0	0	0	0	0	0
Pantoea_vagans	0.00012	0.00005	0	0.00005	0	0	0.00002	0	0	0	0.00008	0	0.00003	0	0.00007	0.00004	0	0	0	0	0	0.00011	0	0.00006	0.00004	0
Parabacteroides_chongii	0.00030	0	0	0.00010	0	0	0.00002	0	0	0	0	0	0.00005	0	0	0.00001	0	0	0	0.00019	0	0	0	0	0.00002	0
Parabacteroides_distasonis	0.00111	0	0	0	0	0	0.00006	0	0	0	0	0	0	0	0	0.00002	0	0	0	0.00043	0	0	0	0	0.00004	0
Parabacteroides_faecis	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00000	0	0	0	0.00011	0	0	0	0	0	0
Parabacteroides_goldsteinii	0.00044	0	0	0	0	0.00004	0.00001	0	0	0	0	0	0	0	0	0.00001	0.00012	0	0	0.00019	0	0	0	0	0.00002	0
Parabacteroides_johnsonii	0.00021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0.00015	0	0	0	0	0	0
Parabacteroides_merdae	0.00049	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00002	0	0	0	0.00017	0	0	0	0	0	0
Parabacteroides_sp._AD58	0.00028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00001	0	0	0	0.00016	0	0	0	0	0.00001	0
Paraburkholderia_acidiphila	0.00006	0.00028	0.00022	0.00024	0.00015	0.00020	0.00017	0.00023	0.00019	0.00013	0.00022	0.00013	0.00020	0	0.00024	0.00022	0.00029	0	0.00019	0	0.00019	0.00030	0.00011	0.00028	0.00023	0.00023
Paraburkholderia_acidisoli	0.00005	0.00020	0.00024	0.00022	0.00020	0.00017	0.00019	0.00027	0.00021	0.00013	0.00024	0.00013	0.00020	0	0.00023	0.00021	0.00030	0	0.00019	0.00002	0.00014	0.00031	0.00014	0.00029	0.00026	0.00032
Paraburkholderia_aromaticivorans	0.00011	0.00035	0.00038	0.00035	0.00025	0.00029	0.00024	0.00038	0.00021	0.00017	0.00026	0.00020	0.00030	0	0.00035	0.00029	0.00041	0	0.00031	0.00005	0.00021	0.00047	0.00019	0.00037	0.00035	0.00035
Paraburkholderia_atlantica	0	0.00019	0.00017	0.00019	0.00013	0.00017	0.00015	0.00021	0.00013	0.00011	0.00018	0.00013	0.00016	0	0.00020	0.00017	0.00024	0	0.00014	0.00002	0.00013	0.00025	0.00013	0.00018	0.00019	0.00021
Paraburkholderia_bonniea	0.00003	0.00005	0.00005	0.00006	0.00003	0.00005	0.00005	0.00004	0	0.00004	0.00006	0.00005	0.00004	0	0.00008	0.00005	0.00007	0	0.00007	0	0.00004	0.00007	0.00006	0.00005	0.00006	0.00007
Paraburkholderia_bryophila	0.00006	0.00015	0.00013	0.00013	0.00007	0.00011	0.00008	0.00013	0.00006	0.00007	0.00015	0.00007	0.00010	0	0.00016	0.00012	0.00013	0	0.00014	0.00003	0.00009	0.00016	0.00006	0.00013	0.00014	0.00015
Paraburkholderia_caffeinilytica	0	0.00014	0.00013	0.00009	0.00009	0.00009	0.00009	0.00018	0.00011	0.00007	0.00012	0.00007	0.00009	0	0.00013	0.00010	0.00011	0	0.00013	0	0.00008	0.00014	0.00009	0.00012	0.00013	0.00013
Paraburkholderia_caledonica	0.00008	0.00011	0.00010	0.00011	0.00007	0.00009	0.00007	0.00012	0.00007	0.00007	0.00011	0.00007	0.00009	0	0.00013	0.00010	0.00013	0	0.00010	0	0.00007	0.00014	0.00004	0.00015	0.00011	0.00012
Paraburkholderia_caribensis	0.00009	0.00031	0.00030	0.00022	0.00018	0.00023	0.00021	0.00038	0.00024	0.00017	0.00027	0.00017	0.00020	0	0.00030	0.00026	0.00030	0	0.00024	0.00004	0.00020	0.00044	0.00018	0.00031	0.00031	0.00033
Paraburkholderia_dioscoreae	0.00006	0.00013	0.00009	0.00009	0.00005	0.00007	0.00008	0.00011	0.00009	0.00005	0.00009	0.00005	0.00007	0	0.00016	0.00009	0.00011	0	0.00008	0	0.00007	0.00013	0.00007	0.00013	0.00012	0.00012
